id;full_name;description;language;stargazers_count;forks_count;open_issues_count;pr_count
130464961;sharkdp/bat;A cat(1) clone with wings.;Rust;52085;1291;361;344
67702184;topjohnwu/Magisk;The Magic Mask for Android;C++;52038;13580;42;285
220809393;Textualize/rich;Rich is a Python library for rich text and beautiful formatting in the terminal.;Python;51594;1816;271;245
12256376;ionic-team/ionic-framework;A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.;TypeScript;51587;13472;571;462
53631945;BurntSushi/ripgrep;ripgrep recursively searches directories for a regex pattern while respecting your gitignore;Rust;51558;2097;174;312
180328715;pmndrs/zustand;🐻 Bear necessities for state management in React;TypeScript;51484;1638;7;387
20619036;pi-hole/pi-hole;A black hole for Internet advertisements;Shell;51407;2799;54;506
29261473;minio/minio;MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.;Go;51382;5756;45;543
1663468;mozilla/pdf.js;PDF Reader in JavaScript;JavaScript;50349;10242;402;528
348060227;withastro/astro;The web framework for content-driven websites. ⭐️ Star to support our work!;TypeScript;50321;2687;169;443
3432266;JetBrains/kotlin;The Kotlin Programming Language. ;Kotlin;50308;5894;182;287
133251103;wagoodman/dive;A tool for exploring each layer in a docker image;Go;50231;1867;154;105
75104123;prettier/prettier;Prettier is an opinionated code formatter.;JavaScript;50223;4481;1447;182
130688011;meilisearch/meilisearch;A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.;Rust;50145;1972;231;532
65252;jekyll/jekyll;:globe_with_meridians: Jekyll is a blog-aware static site generator in Ruby;Ruby;49841;10083;208;380
695864515;hacksider/Deep-Live-Cam;real time face swap and one-click video deepfake with only a single image;Python;49749;7342;18;160
17803236;rclone/rclone;"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Azure Blob, Azure Files, Yandex Files";Go;49720;4431;1124;489
137078487;vuejs/core;🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.;TypeScript;49569;8588;1051;126
6093316;DefinitelyTyped/DefinitelyTyped;The repository for high quality TypeScript type definitions.;TypeScript;49547;30356;704;536
519859998;toeverything/AFFiNE;There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. ;TypeScript;49482;3259;486;587
110446844;marktext/marktext;📝A simple and elegant markdown editor, available for Linux, macOS and Windows.;JavaScript;49191;3606;1277;465
11225014;etcd-io/etcd;Distributed reliable key-value store for the most critical data of a distributed system;Go;49061;10041;442;438
9852918;TryGhost/Ghost;Independent technology for modern publishing, memberships, subscriptions and newsletters.;JavaScript;48926;10685;174;262
15452919;ethereum/go-ethereum;Go implementation of the Ethereum protocol;Go;48712;20750;322;375
79162682;laurent22/joplin;Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.;TypeScript;48634;5277;501;130
31629751;cypress-io/cypress;Fast, easy and reliable testing for anything that runs in a browser.;TypeScript;48489;3276;1405;510
699532645;astral-sh/uv;An extremely fast Python package and project manager, written in Rust.;Rust;48476;1357;1614;324
262296122;PaddlePaddle/PaddleOCR;Awesome multilingual OCR toolkits based on PaddlePaddle (practical ultra lightweight OCR system, support 80+ languages recognition, provide data annotation and synthesis tools, support training and deployment among server, mobile, embedded and IoT devices);Python;48128;8126;82;444
1424470;moment/moment;Parse, validate, manipulate, and display dates in javascript.;JavaScript;48078;7064;280;121
7508411;ReactiveX/RxJava;RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.;Java;48070;7608;14;110
52281283;mastodon/mastodon;Your self-hosted, globally interconnected microblogging community;Ruby;48070;7148;4112;563
