nameWithOwner,url,stargazerCount,primaryLanguage,createdAt,updatedAt,defaultBranchRef,releases,pullRequests,issues,closedIssues,age_days,days_since_update,language,issues_closed_ratio,pr_count,release_count
facebook/create-react-app,https://github.com/facebook/create-react-app,103107,{'name': 'JavaScript'},2016-07-17 14:55:11+00:00,2025-03-14 21:20:41+00:00,{'name': 'main'},{'totalCount': 83},{'totalCount': 1949},{'totalCount': 8376},{'totalCount': 6563},3162.28391723588,0.016208902546296297,JavaScript,0.7835482330468004,1949,83
denoland/deno,https://github.com/denoland/deno,102170,{'name': 'Rust'},2018-05-15 01:34:26+00:00,2025-03-14 21:20:07+00:00,{'name': 'main'},{'totalCount': 315},{'totalCount': 12455},{'totalCount': 12248},{'totalCount': 10251},2495.839993624769,0.016602421064814816,Rust,0.8369529719137818,12455,315
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices,102043,{'name': 'Dockerfile'},2017-09-15 08:33:19+00:00,2025-03-14 21:01:41+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 765},{'totalCount': 327},{'totalCount': 284},2737.549102421065,0.029403346990740743,Dockerfile,0.8685015290519877,765,0
rust-lang/rust,https://github.com/rust-lang/rust,101970,{'name': 'Rust'},2010-06-16 20:39:03+00:00,2025-03-14 20:57:39+00:00,{'name': 'master'},{'totalCount': 135},{'totalCount': 61880},{'totalCount': 57029},{'totalCount': 46926},5385.045120939583,0.032204272916666665,Rust,0.8228445177015202,61880,135
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,99673,{'name': 'Python'},2016-05-04 06:24:11+00:00,2025-03-14 20:58:10+00:00,{'name': 'master'},{'totalCount': 52},{'totalCount': 17},{'totalCount': 2764},{'totalCount': 2566},3236.638778346991,0.03184547662037037,Python,0.9283646888567294,17,52
microsoft/terminal,https://github.com/microsoft/terminal,97391,{'name': 'C++'},2017-08-11 18:38:22+00:00,2025-03-14 21:02:33+00:00,{'name': 'main'},{'totalCount': 128},{'totalCount': 4044},{'totalCount': 13153},{'totalCount': 11546},2772.128928809954,0.02880149513888889,C++,0.8778225499885958,4044,128
angular/angular,https://github.com/angular/angular,97193,{'name': 'TypeScript'},2014-09-18 16:12:01+00:00,2025-03-14 21:20:11+00:00,{'name': 'main'},{'totalCount': 414},{'totalCount': 3709},{'totalCount': 28845},{'totalCount': 27332},3830.230560754398,0.016556124768518518,TypeScript,0.9475472352227422,3709,414
godotengine/godot,https://github.com/godotengine/godot,95143,{'name': 'C++'},2014-01-04 16:05:36+00:00,2025-03-14 20:52:22+00:00,{'name': 'master'},{'totalCount': 59},{'totalCount': 36592},{'totalCount': 55649},{'totalCount': 44119},4087.235016772917,0.03587325439814815,C++,0.7928084961095437,36592,59
mui/material-ui,https://github.com/mui/material-ui,95033,{'name': 'TypeScript'},2014-08-18 19:11:54+00:00,2025-03-14 21:10:22+00:00,{'name': 'master'},{'totalCount': 528},{'totalCount': 20015},{'totalCount': 19882},{'totalCount': 18198},3861.105641772917,0.02337325439814815,TypeScript,0.9153002716024545,20015,528
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,94390,{'name': 'TypeScript'},2020-01-02 01:04:43+00:00,2025-03-14 20:48:54+00:00,{'name': 'master'},{'totalCount': 14},{'totalCount': 3576},{'totalCount': 3918},{'totalCount': 2254},1898.8606301988427,0.03828066180555555,TypeScript,0.5752935171005615,3576,14
ant-design/ant-design,https://github.com/ant-design/ant-design,93964,{'name': 'TypeScript'},2015-04-24 15:37:24+00:00,2025-03-14 18:39:25+00:00,{'name': 'master'},{'totalCount': 692},{'totalCount': 15085},{'totalCount': 31026},{'totalCount': 29801},3612.25460010625,0.12819964328703704,TypeScript,0.9605169857538839,15085,692
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev,92765,{'name': 'HTML'},2015-03-18 21:06:26+00:00,2025-03-14 21:42:17+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 2663},{'totalCount': 0},{'totalCount': 0},3649.02610473588,0.0012089025462962964,HTML,0.0,2663,0
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript,92606,{'name': 'JavaScript'},2016-11-25 22:25:41+00:00,2025-03-14 18:21:24+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 149},{'totalCount': 238},{'totalCount': 163},3030.9710700136575,0.1407112173611111,JavaScript,0.6848739495798319,149,0
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,92138,{'name': 'Python'},2024-12-26 09:52:40+00:00,2025-03-14 21:30:44+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 17},{'totalCount': 452},{'totalCount': 349},78.49399825439815,0.009229735879629629,Python,0.7721238938053098,17,0
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,91573,{'name': 'Shell'},2013-12-15 14:31:41+00:00,2025-03-14 21:03:52+00:00,{'name': 'main'},{'totalCount': 0},{'totalCount': 434},{'totalCount': 244},{'totalCount': 243},4107.300236680324,0.027887143287037036,Shell,0.9959016393442623,434,0
fatedier/frp,https://github.com/fatedier/frp,91486,{'name': 'Go'},2015-12-21 15:24:59+00:00,2025-03-14 18:28:25+00:00,{'name': 'dev'},{'totalCount': 102},{'totalCount': 657},{'totalCount': 3723},{'totalCount': 3661},3371.263222791435,0.13583853217592592,Go,0.9833467633628794,657,102
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,90995,{'name': 'Java'},2014-08-09 16:45:18+00:00,2025-03-14 21:42:13+00:00,{'name': 'master'},{'totalCount': 0},{'totalCount': 1460},{'totalCount': 946},{'totalCount': 819},3870.2074473284724,0.0012551988425925926,Java,0.8657505285412262,1460,0
